Grindavik,90,IS,1547321400,100,63.84,-22.43,33.8,6.93
Longyearbyen,20,NO,1547319000,55,78.22,15.63,6.8,16.11
Biryusinsk,44,RU,1547323701,64,55.96,97.82,-0.3,10.18
Rudnichnyy,12,RU,1547323703,81,59.7,60.29,9.43,5.7
Saint-Leu,0,RE,1547321400,74,-21.15,55.28,78.8,9.17
Lapas,0,PT,1547319600,87,39.49,-8.55,46.4,2.24
Cooma,0,AU,1547319600,71,-36.24,149.13,50.0,3.36
Portales,40,US,1547323080,48,34.19,-103.33,46.94,11.41
Kafanchan,8,NG,1547323715,29,9.58,8.3,71.48,7.72
Baghdad,0,IQ,1547319600,65,33.3,44.38,46.4,3.36
Pleshanovo,0,RU,1547319600,92,57.46,28.17,26.6,4.47
Richards Bay,8,ZA,1547323721,92,-28.77,32.06,69.14,2.91
Camacha,40,PT,1547319600,72,33.08,-16.33,64.4,16.11
Fortuna,0,ES,1547321400,70,38.18,-1.13,42.8,6.93
Boa Vista,75,BR,1547319600,41,2.82,-60.67,91.4,9.17
Nanpiao,0,CN,1547323731,63,41.1,120.75,15.59,7.61
Great Yarmouth,75,GB,1547320800,93,52.61,1.73,46.4,16.11
Aksarka,64,RU,1547323735,77,66.56,67.8,4.84,17.78
Yeppoon,56,AU,1547321400,78,-23.13,150.74,71.6,6.93
Pilar,20,AR,1547319600,54,-34.46,-58.91,82.4,8.05
Codrington,75,AU,1547321400,93,-28.95,153.24,64.4,3.58
Vardo,90,US,1547322900,74,39.62,-77.74,35.6,6.93
Taoudenni,0,ML,1547323746,30,22.68,-3.98,54.74,12.75
Perth,75,GB,1547322600,81,56.4,-3.43,51.8,14.99
Pokrovsk,88,UA,1547323751,94,48.28,37.18,19.06,8.72
Kariba,76,ZW,1547323753,93,-16.53,28.78,74.9,4.47
Clyde River,20,CA,1547319600,73,70.47,-68.59,-31.01,6.93
Bintulu,75,MY,1547319600,100,3.17,113.03,77.0,1.9
Pangody,68,RU,1547323760,79,65.85,74.49,-4.3,20.36
Mecca,0,SA,1547323303,67,21.43,39.83,63.29,1.12
Ostrovnoy,88,RU,1547323367,95,68.05,39.51,20.0,7.61
Pandan,92,PH,1547323766,100,11.72,122.09,78.19,17.22
Lasa,20,CY,1547321400,76,34.92,32.53,55.4,8.05
Guanare,12,VE,1547323771,57,9.04,-69.74,87.01,6.15
Provideniya,12,RU,1547323580,100,64.42,-173.23,-12.49,17.67
Saldanha,0,PT,1547323312,86,41.42,-6.55,25.54,3.47
Gandu,56,CN,1547323777,62,35.89,102.33,0.56,2.91
Silver City,1,US,1547321700,42,32.77,-108.28,47.48,11.41
Teguise,20,ES,1547321400,77,29.06,-13.56,62.6,6.93
Hovd,75,NO,1547320800,100,63.83,10.7,33.8,6.93
San Juan,0,AR,1547323623,29,-31.54,-68.53,86.38,5.37
Kiama,12,AU,1547323789,81,-34.67,150.86,69.59,6.49
Corpus Christi,1,US,1547322960,63,27.8,-97.4,73.76,8.05
Katsuura,20,JP,1547319600,86,33.93,134.5,37.4,8.05
Nantucket,1,US,1547322780,38,41.28,-70.1,30.02,10.29
Kulhudhuffushi,0,MV,1547323588,100,6.62,73.07,82.1,5.14
Bajmok,0,RS,1547320500,86,45.97,19.42,33.8,8.05
Fereydunshahr,20,IR,1547323802,24,32.94,50.12,22.25,4.36
Hammerfest,75,NO,1547320800,69,70.66,23.68,33.8,29.97
Diplo,0,PK,1547323806,90,24.47,69.59,56.09,8.61
Guerrero Negro,44,MX,1547323809,72,27.97,-114.04,64.87,5.93
Takoradi,20,GH,1547323811,100,4.89,-1.75,82.78,6.49
Uruzgan,0,AF,1547323813,56,32.93,66.63,-11.59,1.68
Khuzdar,0,PK,1547323815,62,27.8,66.62,29.32,2.35
Barraute,90,CA,1547319600,84,48.43,-77.63,-2.21,3.8
Toyooka,8,JP,1547323820,89,35.55,134.82,26.48,5.37
Ler,75,NO,1547322600,81,63.2,10.3,33.8,8.05
Cockburn Town,88,TC,1547323815,100,21.46,-71.14,76.88,19.57
Westport,75,IE,1547319600,100,53.8,-9.52,46.4,24.16
Vila Velha,20,BR,1547319600,78,-3.71,-38.6,82.4,8.05
Sambava,36,MG,1547323831,100,-14.27,50.17,79.04,3.91
Tongliao,8,CN,1547323833,70,43.61,122.27,9.2,10.07
Broken Hill,0,AU,1547319600,29,-31.97,141.45,75.2,21.92
Gigmoto,12,PH,1547323837,100,13.78,124.39,77.47,14.43
Lagoa,0,PT,1547321400,62,37.14,-8.45,51.8,8.05
Kingston,40,CA,1547319600,48,44.23,-76.48,17.6,6.93
Gamba,0,CN,1547323845,48,28.28,88.52,-6.46,7.38
Bilibino,20,RU,1547323714,42,68.06,166.44,-27.75,2.24
Mana,75,RS,1547323200,86,43.52,20.24,30.2,1.12
Christchurch,8,NZ,1547321400,88,-43.53,172.64,62.6,6.93
Mao,40,DO,1547319600,83,19.55,-71.08,80.6,3.36
Terney,0,RU,1547323856,100,45.05,136.61,17.44,9.4
Rome,0,IT,1547322600,55,41.89,12.48,39.2,4.7
Ballina,75,IE,1547319600,100,54.11,-9.15,46.4,24.16
Gao,0,ML,1547323863,34,16.28,-0.04,66.71,9.4
Farafangana,68,MG,1547323865,100,-22.82,47.83,77.24,7.49
Pasighat,0,IN,1547323867,50,28.06,95.33,50.92,2.68
Wajir,12,KE,1547323869,27,1.75,40.07,73.19,8.05
Megion,90,RU,1547321400,83,61.04,76.11,-7.61,8.95
Port Blair,80,IN,1547323543,98,11.67,92.75,83.14,11.63
Ouahigouya,0,BF,1547323876,23,13.58,-2.42,71.66,9.95
Suozhen,0,CN,1547323878,60,36.95,118.1,17.44,4.7
Dingle,56,PH,1547323178,94,11.0,122.67,74.59,12.19
Bathsheba,20,BB,1547319600,61,13.22,-59.52,82.4,16.11
Davila,0,PH,1547323885,100,18.47,120.58,75.53,20.69
Luderitz,36,NA,1547323597,93,-26.65,15.16,61.81,5.59
Santa Maria del Oro,0,MX,1547323889,24,25.95,-105.37,61.94,5.26
Yatou,40,CM,1547319600,94,3.63,9.81,80.6,14.09
